Word,Label_BIO,Sentence_Id
phân_tích,O,22
",",O,22
thiết_kế,O,22
",",O,22
phát_triển,O,22
",",O,22
triển_khai,O,22
",",O,22
đào_tạo,O,22
và,O,22
bảo_trì,O,22
24,O,22
tháng,O,22
.,O,22
1.3,O,23
.,O,23
Bên,B-PARTY,23
A,I-PARTY,23
cam_kết,O,23
hệ_thống,O,23
đáp_ứng,O,23
tiêu_chuẩn,O,23
bảo_mật,O,23
dữ_liệu,O,23
y_tế,O,23
theo,O,23
Bộ,O,23
Y_tế,O,23
.,O,23
ĐIỀU,O,25
2,O,25
:,O,25
GIÁ_TRỊ,O,25
VÀ,O,25
THANH_TOÁN,O,25
2.1,O,26
.,O,26
Tổng,O,26
giá_trị,O,26
:,O,26
2.500.000.000,B-MONEY,26
VNĐ,I-MONEY,26
(,O,26
Hai,O,26
tỷ,O,26
năm,O,26
trăm,O,26
triệu,O,26
đồng,O,26
),O,26
",",O,26
đã,O,26
bao_gồm,O,26
VAT,O,26
.,O,26
2.2,O,27
.,O,27
Thanh_toán,O,27
4,O,27
đợt,O,27
:,O,27
20%,B-RATE,27
khi,O,27
ký,O,27
-,O,27
30%,B-RATE,27
sau,O,27
thiết_kế,O,27
-,O,27
30%,B-RATE,27
sau,O,27
triển_khai,O,27
-,O,27
20%,B-RATE,27
sau,O,27
nghiệm_thu,O,27
.,O,27
2.3,O,28
.,O,28
Thanh_toán,O,28
chuyển_khoản,O,28
trong,O,28
10,O,28
ngày,O,28
làm_việc,O,28
kể,O,28
từ,O,28
khi,O,28
nhận,O,28
hồ_sơ,O,28
hợp_lệ,O,28
.,O,28
ĐIỀU,O,30
3,O,30
:,O,30
TIẾN_ĐỘ,O,30
3.1,O,31
.,O,31
Tổng,O,31
thời_gian,O,31
:,O,31
09,O,31
tháng,O,31
.,O,31
3.2,O,32
.,O,32
Bên,B-PARTY,32
A,I-PARTY,32
báo_cáo,O,32
tiến_độ,O,32
mỗi,O,32
02,O,32
tuần,O,32
và,O,32
họp,O,32
review,O,32
hàng,O,32
tháng,O,32
.,O,32
3.3,O,33
.,O,33
Chậm,O,33
tiến_độ,O,33
quá,O,33
15,O,33
ngày,O,33
",",O,33
Bên,B-PARTY,33
B,I-PARTY,33
có,O,33
quyền,O,33
yêu_cầu,O,33
tăng,O,33
nhân_lực,O,33
hoặc,O,33
phạt,O,33
theo,O,33
Điều,O,33
7,O,33
.,O,33
ĐIỀU,O,35
4,O,35
:,O,35
SỞ_HỮU_TRÍ_TUỆ,O,35
4.1,O,36
.,O,36
Mã,O,36
nguồn,O,36
thuộc,O,36
sở_hữu,O,36
Bên,B-PARTY,36
B,I-PARTY,36
sau,O,36
khi,O,36
thanh_toán,O,36
đầy_đủ,O,36
.,O,36
4.2,O,37
.,O,37
Bên,B-PARTY,37
A,I-PARTY,37
không,O,37
được,O,37
sử_dụng,O,37
mã,O,37
nguồn,O,37
tuỳ,O,37
chỉnh,O,37
cho,O,37
bên,O,37
thứ,O,37
ba,O,37
.,O,37
4.3,O,38
.,O,38
Bên,B-PARTY,38
B,I-PARTY,38
có,O,38
quyền,O,38
yêu_cầu,O,38
chuyển_giao,O,38
toàn_bộ,O,38
tài_liệu,O,38
kỹ_thuật,O,38
.,O,38
ĐIỀU,O,40
5,O,40
:,O,40
BẢO_MẬT,O,40
5.1,O,41
.,O,41
Bên,B-PARTY,41
A,I-PARTY,41
cam_kết,O,41
bảo_mật,O,41
dữ_liệu,O,41
bệnh_nhân,O,41
",",O,41
hồ_sơ,O,41
y_tế,O,41
và,O,41
thông_tin,O,41
kinh_doanh,O,41
.,O,41
5.2,O,42
.,O,42
Nghiêm_cấm,O,42
Bên,B-PARTY,42
A,I-PARTY,42
truy_cập,O,42
",",O,42
sao_chép,O,42
hoặc,O,42
chia_sẻ,O,42
dữ_liệu,O,42
bệnh_nhân,O,42
cho,O,42
bên,O,42
thứ,O,42
ba,O,42
.,O,42
5.3,O,43
.,O,43
Nghĩa_vụ,O,43
bảo_mật,O,43
kéo_dài,O,43
vô_thời_hạn,O,43
đối_với,O,43
dữ_liệu,O,43
y_tế,O,43
.,O,43
5.4,O,44
.,O,44
Vi_phạm,O,44
bảo_mật,O,44
:,O,44
bồi_thường,O,44
tối_thiểu,O,44
500.000.000,B-MONEY,44
VNĐ,I-MONEY,44
.,O,44
ĐIỀU,O,46
6,O,46
:,O,46
BẢO_HÀNH,O,46
6.1,O,47
.,O,47
Bảo_hành,O,47
24,O,47
tháng,O,47
kể,O,47
từ,O,47
ngày,O,47
nghiệm_thu,O,47
.,O,47
6.2,O,48
.,O,48
Lỗi,O,48
nghiêm_trọng,O,48
:,O,48
xử_lý,O,48
trong,O,48
04,O,48
giờ,O,48
.,O,48
6.3,O,49
.,O,49
Hỗ_trợ,O,49
kỹ_thuật,O,49
24/7,O,49
trong,O,49
thời_gian,O,49
bảo_hành,O,49
.,O,49
ĐIỀU,O,51
7,O,51
:,O,51
PHẠT,O,51
VI_PHẠM,O,51
7.1,O,52
.,O,52
Chậm,O,52
tiến_độ,O,52
:,O,52
phạt,O,52
0.3%,B-RATE,52
giá_trị,O,52
hợp_đồng,O,52
mỗi,O,52
tuần,O,52
",",O,52
tối_đa,O,52
10%,B-RATE,52
.,O,52
7.2,O,53
.,O,53
Không,O,53
khắc_phục,O,53
lỗi,O,53
đúng,O,53
hạn,O,53
:,O,53
phạt,O,53
5.000.000,B-MONEY,53
VNĐ,I-MONEY,53
/,O,53
ngày,O,53
đối_với,O,53
lỗi,O,53
nghiêm_trọng,O,53
.,O,53
7.3,O,54
.,O,54
Chậm,O,54
thanh_toán,O,54
:,O,54
lãi_suất,O,54
1%,B-RATE,54
/,O,54
tháng,O,54
.,O,54
ĐIỀU,O,56
8,O,56
:,O,56
CHẤM_DỨT,O,56
HỢP_ĐỒNG,O,56
8.1,O,57
.,O,57
Bên,B-PARTY,57
B,I-PARTY,57
có,O,57
quyền,O,57
chấm_dứt,O,57
nếu,O,57
Bên,B-PARTY,57
A,I-PARTY,57
chậm,O,57
quá,O,57
60,O,57
ngày,O,57
hoặc,O,57
chất_lượng,O,57
không,O,57
đạt,O,57
sau,O,57
02,O,57
lần,O,57
yêu_cầu,O,57
sửa,O,57
.,O,57
8.2,O,58
.,O,58
Chấm_dứt,O,58
do,O,58
lỗi,O,58
Bên,B-PARTY,58
A,I-PARTY,58
:,O,58
hoàn_trả,O,58
toàn_bộ,O,58
tiền,O,58
và,O,58
bồi_thường,O,58
15%,B-RATE,58
giá_trị,O,58
hợp_đồng,O,58
.,O,58
8.3,O,59
.,O,59
Bên,B-PARTY,59
A,I-PARTY,59
bàn_giao,O,59
toàn_bộ,O,59
mã,O,59
nguồn,O,59
và,O,59
tài_liệu,O,59
trong,O,59
14,O,59
ngày,O,59
khi,O,59
chấm_dứt,O,59
.,O,59
ĐIỀU,O,61
9,O,61
:,O,61
ĐIỀU_KHOẢN,O,61
CHUNG,O,61
9.1,O,62
.,O,62
Tranh_chấp,O,62
giải_quyết,O,62
tại,O,62
Trung_tâm,O,62
Trọng_tài,O,62
Quốc_tế,O,62
Việt_Nam,O,62
(,O,62
VIAC,O,62
),O,62
.,O,62
9.2,O,63
.,O,63
Hợp_đồng,O,63
lập,O,63
thành,O,63
04,O,63
bản,O,63
",",O,63
mỗi,O,63
bên,O,63
giữ,O,63
02,O,63
bản,O,63
.,O,63
BÊN,B-PARTY,65
CUNG_CẤP,I-PARTY,65
DỊCH_VỤ,I-PARTY,65
BÊN,I-PARTY,65
SỬ_DỤNG,I-PARTY,65
DỊCH_VỤ,I-PARTY,65
ĐẶNG_QUỐC,O,67
BẢO,O,67
NGÔ,O,67
THỊ,O,67
HỒNG_NHUNG,O,67
HỢP_ĐỒNG,O,69
LAO_ĐỘNG,O,69
Số,O,70
:,O,70
2025,O,70
/,O,70
HĐLĐ-088,O,70
Căn_cứ,O,72
Bộ_luật,B-LAW,72
Lao_động,I-LAW,72
năm,I-LAW,72
2019,I-LAW,72
;,O,72
Căn_cứ,O,73
nhu_cầu,O,73
sản_xuất,O,73
kinh_doanh,O,73
và,O,73
năng_lực,O,73
của,O,73
người,O,73
lao_động,O,73
;,O,73
Hôm_nay,O,75
",",O,75
ngày,B-DATE,75
20,I-DATE,75
tháng,I-DATE,75
09,I-DATE,75
năm,I-DATE,75
2025,I-DATE,75
",",O,75
tại,O,75
Thành_phố,O,75
Đà_Nẵng,O,75
",",O,75
chúng_tôi,O,75
gồm,O,75
:,O,75
NGƯỜI,O,77
SỬ_DỤNG,O,77
LAO_ĐỘNG,O,77
(,O,77
BÊN,B-PARTY,77
A,I-PARTY,77
),O,77
:,O,77
Công_ty,B-PARTY,78
Cổ_phần,I-PARTY,78
Phần_Mềm,I-PARTY,78
FPT,I-PARTY,78
Đà_Nẵng,I-PARTY,78
Địa_chỉ,O,79
:,O,79
Lô,O,79
A17,O,79
",",O,79
Khu,O,79
Công_nghệ_cao,O,79
",",O,79
Quận,O,79
Ngũ_Hành_Sơn,O,79
",",O,79
TP.,O,79
Đà_Nẵng,O,79
Mã_số,O,80
thuế,O,80
:,O,80
0401234567,O,80
Đại_diện,O,81
:,O,81
Ông,B-PARTY,81
Phạm_Đức_Trung,I-PARTY,81
-,O,81
Chức_vụ,O,81
:,O,81
Tổng_Giám_đốc,O,81
Số,O,82
điện_thoại,O,82
:,O,82
0236-3888-999,O,82
NGƯỜI,O,84
LAO_ĐỘNG,O,84
(,O,84
BÊN,B-PARTY,84
B,I-PARTY,84
),O,84
:,O,84
Ông,B-PARTY,85
Võ_Minh_Khoa,I-PARTY,85
Ngày_sinh,O,86
:,O,86
15/03/1995,B-DATE,86
Số,O,87
CCCD,O,87
:,O,87
048095123456,O,87
Địa_chỉ,O,88
:,O,88
234,O,88
Trần_Phú,O,88
",",O,88
Quận,O,88
Hải_Châu,O,88
",",O,88
TP.,O,88
Đà_Nẵng,O,88
Trình_độ,O,89
chuyên_môn,O,89
:,O,89
Kỹ_sư,O,89
Công_nghệ_Thông_tin,O,89
Số,O,90
điện_thoại,O,90
:,O,90
0935-678-901,O,90
Hai,O,92
bên,O,92
thoả_thuận,O,92
ký_kết,O,92
hợp_đồng,O,92
lao_động,O,92
với,O,92
các,O,92
điều_khoản,O,92
sau,O,92
:,O,92
ĐIỀU,O,94
1,O,94
:,O,94
CÔNG_VIỆC,O,94
VÀ,O,94
ĐỊA_ĐIỂM,O,94
LÀM_VIỆC,O,94
1.1,O,95
.,O,95
Bên,B-PARTY,95
B,I-PARTY,95
được,O,95
tuyển_dụng,O,95
vào,O,95
vị_trí,O,95
Kỹ_sư,O,95
phần_mềm,O,95
cấp,O,95
cao,O,95
(,O,95
Senior_Software_Engineer,O,95
),O,95
tại,O,95
Phòng,O,95
Phát_triển,O,95
Sản_phẩm,O,95
.,O,95
1.2,O,96
.,O,96
Địa_điểm,O,96
làm_việc,O,96
:,O,96
Trụ_sở,O,96
Công_ty,O,96
tại,O,96
Lô,O,96
A17,O,96
",",O,96
Khu,O,96
Công_nghệ_cao,O,96
",",O,96
Quận,O,96
Ngũ_Hành_Sơn,O,96
",",O,96
TP.,O,96
Đà_Nẵng,O,96
.,O,96
1.3,O,97
.,O,97
Bên,B-PARTY,97
B,I-PARTY,97
có,O,97
nghĩa_vụ,O,97
hoàn_thành,O,97
các,O,97
nhiệm_vụ,O,97
được,O,97
giao,O,97
theo,O,97
mô_tả,O,97
công_việc,O,97
đính,O,97
kèm,O,97
Phụ_lục,O,97
1,O,97
.,O,97
1.4,O,98
.,O,98
Bên,B-PARTY,98
A,I-PARTY,98
không,O,98
được,O,98
phép,O,98
chuyển,O,98
Bên,B-PARTY,98
B,I-PARTY,98
sang,O,98
làm,O,98
công_việc,O,98
khác,O,98
mà,O,98
không,O,98
có,O,98
sự,O,98
đồng_ý,O,98
của,O,98
Bên,B-PARTY,98
B,I-PARTY,98
",",O,98
trừ,O,98
trường_hợp,O,98
tạm_thời,O,98
theo,O,98
quy_định,O,98
của,O,98
Bộ_luật,B-LAW,98
Lao_động,I-LAW,98
.,O,98
ĐIỀU,O,100
2,O,100
:,O,100
LOẠI,O,100
HỢP_ĐỒNG,O,100
VÀ,O,100
THỜI_HẠN,O,100
2.1,O,101
.,O,101
Loại,O,101
hợp_đồng,O,101
:,O,101
Hợp_đồng,O,101
lao_động,O,101
xác_định,O,101
thời_hạn,O,101
.,O,101
2.2,O,102
.,O,102
Thời_hạn,O,102
:,O,102
24,O,102
tháng,O,102
",",O,102
từ,O,102
ngày,O,102
01/10/2025,B-DATE,102
đến,O,102
hết,O,102
ngày,O,102
30/09/2027,B-DATE,102
.,O,102
2.3,O,103
.,O,103
Thời_gian,O,103
thử,O,103
việc,O,103
:,O,103
60,O,103
ngày,O,103
kể,O,103
từ,O,103
ngày,O,103
bắt_đầu,O,103
làm_việc,O,103
.,O,103
2.4,O,104
.,O,104
Sau,O,104
khi,O,104
hết,O,104
thời_gian,O,104
thử,O,104
việc,O,104
",",O,104
nếu,O,104
Bên,B-PARTY,104
B,I-PARTY,104
đạt,O,104
yêu_cầu,O,104
",",O,104
Bên,B-PARTY,104
A,I-PARTY,104
phải,O,104
thông_báo,O,104
kết_quả,O,104
và,O,104
ký,O,104
chính_thức,O,104
trong,O,104
vòng,O,104
03,O,104
ngày,O,104
làm_việc,O,104
.,O,104
ĐIỀU,O,106
3,O,106
:,O,106
CHẾ_ĐỘ,O,106
LƯƠNG,O,106
VÀ,O,106
PHỤ_CẤP,O,106
3.1,O,107
.,O,107
Mức,O,107
lương,O,107
chính,O,107
:,O,107
30.000.000,B-MONEY,107
VNĐ,I-MONEY,107
/,O,107
tháng,O,107
(,O,107
Ba_mươi,O,107
triệu,O,107
đồng,O,107
),O,107
.,O,107
3.2,O,108
.,O,108
Phụ_cấp,O,108
:,O,108
a,O,109
),O,109
Phụ_cấp,O,109
ăn,O,109
trưa,O,109
:,O,109
1.500.000,B-MONEY,109
VNĐ,I-MONEY,109
/,O,109
tháng,O,109
b,O,110
),O,110
Phụ_cấp,O,110
đi_lại,O,110
:,O,110
1.000.000,B-MONEY,110
VNĐ,I-MONEY,110
/,O,110
tháng,O,110
c,O,111
),O,111
Phụ_cấp,O,111
điện_thoại,O,111
:,O,111
500.000,B-MONEY,111
VNĐ,I-MONEY,111
/,O,111
tháng,O,111
3.3,O,112
.,O,112
Tổng,O,112
thu_nhập,O,112
hàng,O,112
tháng,O,112
:,O,112
33.000.000,B-MONEY,112
VNĐ,I-MONEY,112
(,O,112
chưa,O,112
trừ,O,112
các,O,112
khoản,O,112
đóng,O,112
BHXH,O,112
",",O,112
BHYT,O,112
",",O,112
thuế,O,112
TNCN,O,112
),O,112
.,O,112
3.4,O,113
.,O,113
Lương,O,113
được,O,113
trả,O,113
vào,O,113
ngày,B-DATE,113
10,I-DATE,113
hàng,O,113
tháng,O,113
qua,O,113
chuyển_khoản,O,113
ngân_hàng,O,113
.,O,113
3.5,O,114
.,O,114
Bên,B-PARTY,114
B,I-PARTY,114
được,O,114
xét,O,114
thưởng,O,114
hiệu_suất,O,114
hàng,O,114
quý,O,114
",",O,114
mức,O,114
thưởng,O,114
tối_đa,O,114
bằng,O,114
01,O,114
tháng,O,114
lương,O,114
.,O,114
3.6,O,115
.,O,115
Bên,B-PARTY,115
A,I-PARTY,115
phải,O,115
xem_xét,O,115
điều_chỉnh,O,115
lương,O,115
ít_nhất,O,115
01,O,115
lần,O,115
mỗi,O,115
năm,O,115
",",O,115
mức,O,115
tăng,O,115
tối_thiểu,O,115
không,O,115
thấp,O,115
hơn,O,115
tỷ_lệ,O,115
lạm_phát,O,115
.,O,115
ĐIỀU,O,117
4,O,117
:,O,117
THỜI_GIỜ,O,117
LÀM_VIỆC,O,117
VÀ,O,117
NGHỈ_NGƠI,O,117
4.1,O,118
.,O,118
Thời_giờ,O,118
làm_việc,O,118
:,O,118
08,O,118
giờ,O,118
/,O,118
ngày,O,118
",",O,118
05,O,118
ngày,O,118
/,O,118
tuần,O,118
(,O,118
Thứ,O,118
Hai,O,118
đến,O,118
Thứ_Sáu,O,118
),O,118
",",O,118
từ,O,118
08:00,O,118
đến,O,118
17:00,O,118
.,O,118
4.2,O,119
.,O,119
Bên,B-PARTY,119
B,I-PARTY,119
được,O,119
nghỉ_phép,O,119
năm,B-DATE,119
15,I-DATE,119
ngày,O,119
/,O,119
năm,O,119
có,O,119
hưởng,O,119
lương,O,119
.,O,119
4.3,O,120
.,O,120
Bên,B-PARTY,120
B,I-PARTY,120
được,O,120
nghỉ,O,120
các,O,120
ngày,O,120
lễ,O,120
",",O,120
tết,O,120
theo,O,120
quy_định,O,120
của,O,120
pháp_luật,O,120
.,O,120
4.4,O,121
.,O,121
Trường_hợp,O,121
làm,O,121
thêm,O,121
giờ,O,121
",",O,121
Bên,B-PARTY,121
A,I-PARTY,121
phải,O,121
trả,O,121
lương,O,121
làm,O,121
thêm,O,121
theo,O,121
đúng,O,121
quy_định,O,121
:,O,121
150%,B-RATE,121
vào,O,121
ngày,O,121
thường,O,121
",",O,121
200%,B-RATE,121
vào,O,121
ngày,O,121
nghỉ,O,121
hàng,O,121
tuần,O,121
",",O,121
300%,B-RATE,121
vào,O,121
ngày,O,121
lễ,O,121
.,O,121
4.5,O,122
.,O,122
Bên,B-PARTY,122
A,I-PARTY,122
không,O,122
được,O,122
yêu_cầu,O,122
Bên,B-PARTY,122
B,I-PARTY,122
làm,O,122
thêm,O,122
quá,O,122
40,O,122
giờ,O,122
mỗi,O,122
tháng,O,122
và,O,122
200,O,122
giờ,O,122
mỗi,O,122
năm,O,122
.,O,122
ĐIỀU,O,124
5,O,124
:,O,124
BẢO_HIỂM_XÃ_HỘI,O,124
VÀ,O,124
PHÚC_LỢI,O,124
5.1,O,125
.,O,125
Bên,B-PARTY,125
A,I-PARTY,125
đóng,O,125
bảo_hiểm_xã_hội,O,125
",",O,125
bảo_hiểm_y_tế,O,125
",",O,125
bảo_hiểm,O,125
thất_nghiệp,O,125
cho,O,125
Bên,B-PARTY,125
B,I-PARTY,125
theo,O,125
quy_định,O,125
pháp_luật,O,125
.,O,125
5.2,O,126
.,O,126
Bên,B-PARTY,126
B,I-PARTY,126
được,O,126
hưởng,O,126
bảo_hiểm,O,126
sức_khoẻ,O,126
cao_cấp,O,126
(,O,126
PVI,O,126
Care,O,126
),O,126
cho,O,126
bản_thân,O,126
",",O,126
mức,O,126
bảo_hiểm,O,126
200.000.000,B-MONEY,126
VNĐ,I-MONEY,126
/,O,126
năm,O,126
.,O,126
5.3,O,127
.,O,127
Bên,B-PARTY,127
B,I-PARTY,127
được,O,127
tham_gia,O,127
các,O,127
chương_trình,O,127
đào_tạo,O,127
nâng,O,127
cao,O,127
kỹ_năng,O,127
do,O,127
Công_ty,O,127
tổ_chức,O,127
hoặc,O,127
tài_trợ,O,127
.,O,127
5.4,O,128
.,O,128
Bên,B-PARTY,128
B,I-PARTY,128
được,O,128
hỗ_trợ,O,128
chi_phí,O,128
chứng_chỉ,O,128
chuyên_môn,O,128
quốc_tế,O,128
(,O,128
AWS,O,128
",",O,128
Azure,O,128
",",O,128
GCP,O,128
),O,128
với,O,128
mức,O,128
tối_đa,O,128
15.000.000,B-MONEY,128
VNĐ,I-MONEY,128
/,O,128
năm,O,128
.,O,128
ĐIỀU,O,130
6,O,130
:,O,130
NGHĨA_VỤ,O,130
BẢO_MẬT,O,130
6.1,O,131
.,O,131
Bên,B-PARTY,131
B,I-PARTY,131
cam_kết,O,131
giữ,O,131
bí_mật,O,131
mọi,O,131
thông_tin,O,131
kỹ_thuật,O,131
",",O,131
kinh_doanh,O,131
",",O,131
dữ_liệu,O,131
khách_hàng,O,131
và,O,131
các,O,131
thông_tin,O,131
mật,O,131
khác,O,131
của,O,131
Bên,B-PARTY,131
A,I-PARTY,131
trong,O,131
suốt,O,131
thời_gian,O,131
làm_việc,O,131
và,O,131
24,O,131
tháng,O,131
sau,O,131
khi,O,131
chấm_dứt,O,131
hợp_đồng,O,131
.,O,131
6.2,O,132
.,O,132
Bên,B-PARTY,132
B,I-PARTY,132
không,O,132
được,O,132
phép,O,132
sao_chép,O,132
",",O,132
chia_sẻ,O,132
hoặc,O,132
sử_dụng,O,132
mã,O,132
nguồn,O,132
",",O,132
tài_liệu,O,132
kỹ_thuật,O,132
của,O,132
Bên,B-PARTY,132
A,I-PARTY,132
cho,O,132
mục_đích,O,132
cá_nhân,O,132
hoặc,O,132
bên,O,132
thứ,O,132
ba,O,132
.,O,132
6.3,O,133
.,O,133
Vi_phạm,O,133
nghĩa_vụ,O,133
bảo_mật,O,133
",",O,133
Bên,B-PARTY,133
B,I-PARTY,133
phải,O,133
bồi_thường,O,133
thiệt_hại,O,133
tối_thiểu,O,133
100.000.000,B-MONEY,133
VNĐ,I-MONEY,133
và,O,133
chịu,O,133
trách_nhiệm,O,133
pháp_lý,O,133
theo,O,133
quy_định,O,133
.,O,133
6.4,O,134
.,O,134
Cấm_Bên_B,O,134
làm_việc,O,134
cho,O,134
đối_thủ,O,134
cạnh_tranh,O,134
trực_tiếp,O,134
của,O,134
Bên,B-PARTY,134
A,I-PARTY,134
trong,O,134
vòng,O,134
12,O,134
tháng,O,134
sau,O,134
khi,O,134
nghỉ_việc,O,134
.,O,134
ĐIỀU,O,136
7,O,136
:,O,136
CHẤM_DỨT,O,136
HỢP_ĐỒNG,O,136
7.1,O,137
.,O,137
Bên,B-PARTY,137
B,I-PARTY,137
có,O,137
quyền,O,137
đơn_phương,O,137
chấm_dứt,O,137
hợp_đồng,O,137
trước,O,137
thời_hạn,O,137
nhưng,O,137
phải,O,137
báo,O,137
trước,O,137
bằng,O,137
văn_bản,O,137
ít_nhất,O,137
30,O,137
ngày,O,137
.,O,137
7.2,O,138
.,O,138
Bên,B-PARTY,138
A,I-PARTY,138
có,O,138
quyền,O,138
đơn_phương,O,138
chấm_dứt,O,138
hợp_đồng,O,138
khi,O,138
Bên,B-PARTY,138
B,I-PARTY,138
vi_phạm,O,138
kỷ_luật,O,138
lao_động,O,138
nghiêm_trọng,O,138
theo,O,138
nội_quy,O,138
công_ty,O,138
.,O,138
7.3,O,139
.,O,139
Bên,B-PARTY,139
A,I-PARTY,139
phải,O,139
thông_báo,O,139
trước,O,139
ít_nhất,O,139
45,O,139
ngày,O,139
nếu,O,139
đơn_phương,O,139
chấm_dứt,O,139
hợp_đồng,O,139
và,O,139
phải,O,139
trả,O,139
trợ_cấp,O,139
thôi_việc,O,139
theo,O,139
quy_định,O,139
.,O,139
7.4,O,140
.,O,140
Khi,O,140
chấm_dứt,O,140
hợp_đồng,O,140
",",O,140
Bên,B-PARTY,140
B,I-PARTY,140
phải,O,140
bàn_giao,O,140
đầy_đủ,O,140
tài_sản,O,140
",",O,140
tài_liệu,O,140
",",O,140
mã,O,140
nguồn,O,140
và,O,140
quyền,O,140
truy_cập,O,140
hệ_thống,O,140
trong,O,140
vòng,O,140
07,O,140
ngày,O,140
làm_việc,O,140
.,O,140
7.5,O,141
.,O,141
Bên,B-PARTY,141
A,I-PARTY,141
phải,O,141
thanh_toán,O,141
đầy_đủ,O,141
lương,O,141
",",O,141
thưởng,O,141
và,O,141
các,O,141
khoản,O,141
phúc_lợi,O,141
còn,O,141
thiếu,O,141
cho,O,141
Bên,B-PARTY,141
B,I-PARTY,141
trong,O,141
vòng,O,141
14,O,141
ngày,O,141
kể,O,141
từ,O,141
ngày,O,141
chấm_dứt,O,141
hợp_đồng,O,141
.,O,141
ĐIỀU,O,143
8,O,143
:,O,143
ĐIỀU_KHOẢN,O,143
CHUNG,O,143
8.1,O,144
.,O,144
Hai,O,144
bên,O,144
cam_kết,O,144
thực_hiện,O,144
đầy_đủ,O,144
các,O,144
điều_khoản,O,144
trong,O,144
hợp_đồng,O,144
này,O,144
.,O,144
8.2,O,145
.,O,145
Tranh_chấp,O,145
phát_sinh,O,145
được,O,145
giải_quyết,O,145
theo,O,145
quy_định,O,145
của,O,145
Bộ_luật,B-LAW,145
Lao_động,I-LAW,145
hiện_hành,O,145
.,O,145
8.3,O,146
.,O,146
Hợp_đồng,O,146
được,O,146
lập,O,146
thành,O,146
02,O,146
bản,O,146
",",O,146
mỗi,O,146
bên,B-PARTY,146
giữ,O,146
01,O,146
bản,O,146
có,O,146
giá_trị,O,146
pháp_lý,O,146
như,O,146
nhau,O,146
.,O,146
NGƯỜI,O,148
SỬ_DỤNG,O,148
LAO_ĐỘNG,O,148
NGƯỜI,O,148
LAO_ĐỘNG,O,148
Tổng_Giám_đốc,O,149
PHẠM,O,152
ĐỨC,O,152
TRUNG,O,152
VÕ,O,152
MINH,O,152
KHOA,O,152
HỢP_ĐỒNG,O,154
MUA_BÁN,O,154
HÀNG,O,154
HÓA,O,154
Số,O,155
:,O,155
2025,O,155
/,O,155
HĐMB-001,O,155
Căn_cứ,O,157
Bộ_luật,B-LAW,157
Dân_sự,I-LAW,157
